code,name,country,latitude,longitude
00CA,Goldstone (GTS) Airport,US,35.34930038,-116.8929977
00WI,Northern Lite Airport,US,44.30419922,-89.05200195
01A,Purkeypile Airport,US,62.940214,-152.272933
01ID,Lava Hot Springs Airport,US,42.61100006,-112.0350037
01J,Hilliard Airpark,US,30.6909008,-81.90640259
01LS,Country Breeze Airport,US,30.72270012,-91.0802002
01MT,Crystal Lakes Resort Airport,US,48.79499817,-114.8860016
01OL,Spring Creek Ranch East Airport,US,34.36072159,-96.73647308
01WI,Prehn Cranberry Company Airport,US,44.00559998,-90.39050293
02FD,Triple R Ranch Airport,US,30.94759941,-86.63600159
04CA,Gray Butte Field,US,34.5666,-117.683
04I,Columbus Southwest Airport,US,39.90919876,-83.19280243
04MS,Nick's Flying Service Inc Airport,US,32.94419861,-90.83730316
04NV,Kingston Ranch Airport,US,35.75180054,-115.6679993
04TT,4D Ranch Airport,US,29.71954155,-99.5453949
04V,Saguache Municipal Airport,US,38.10409927,-106.185997
04W,Field of Dreams Airport,US,46.02130127,-92.90010071
05CL,Pope Valley Airport,US,38.61309814,-122.3970032
05LS,Grass Roots Airport,US,31.24710083,-92.478302
05PS,Mills Brothers Airport,US,40.14120102,-77.8655014
05V,Blanca Airport,US,37.40480042,-105.5599976
05Y,Henning Municipal Airport,US,46.3083992,-95.44229889
06FA,William P Gwinn Airport,US,26.90810013,-80.33920288
06MO,Noahs Ark Airport,US,39.23529816,-94.80639648
06N,Randall Airport,US,41.43019867,-74.39610291
06TE,Ainsworth Airport,US,30.31229973,-95.03079987
06TT,6 Mile Airpark,US,30.86289978,-100.2057037
06WN,Western Airpark,US,46.92630005,-122.5579987
06Y,Herman Municipal Airport,US,45.83319855,-96.16359711
07B,Blue Hill Airport,US,44.4518013,-68.57279968
07FA,Ocean Reef Club Airport,US,25.32069969,-80.27919769
07IA,Hoskins Landing,US,40.650081,-95.021511
07K,Central City Municipal - Larry Reineke Field,US,41.11640167,-98.05329895
07MT,Glasgow Industrial Airport,US,48.43030167,-106.552002
07TE,Cuddihy Field,US,27.72579956,-97.51750183
07Y,Hill City-Quadna Mountain Airport,US,46.95949936,-93.59929657
08B,Merrymeeting Field,US,44.00170135,-69.88999939
08MS,Midsouth Airpark,US,34.66049957,-89.87419891
08R,Richmond Airport,US,41.48989868,-71.62449646
09CL,Alta Sierra Airport,US,39.11000061,-121.0589981
09FA,Placid Lakes Airport,US,27.25219917,-81.4131012
09S,Sullivan Lake State Airport,US,48.84329987,-117.2839966
09TS,Pitcock Rosillos Mountain Ranch Airport,US,29.48240089,-103.1709976
0AZ2,Western Sky Airport,US,33.78279877,-113.6409988
0B2,Brewer Airport,US,44.76150131,-68.76709747
0C1,Triple R Airport,US,39.48469925,-94.78179932
0C2,Hinckley Airport,US,41.77090073,-88.70839691
0C5,Canadian Lakes Airport,US,43.58160019,-85.2806015
0C7,Grandpas' Farm Mendota Airport,US,41.52730179,-89.13289642
0C8,Cushing Field Ltd Airport,US,41.52339935,-88.60510254
0CA9,Blech Ranch Airport,US,35.59939957,-120.3389969
0CO2,Crested Butte Airpark,US,38.85440063,-106.9380035
0D7,Ada Airport,US,40.79059982,-83.83260345
0G0,North Buffalo Suburban Airport,US,43.10329819,-78.70860291
0H7,Kahoka Municipal Airport,US,40.42229843,-91.71140289
0I2,Brazil Clay County Airport,US,39.47679901,-87.10489655
0ID2,Flying Joseph Ranch Airport,US,44.44589996,-113.7850037
0ID9,Corral Creek Airport,US,46.7844429,-116.4755554
0IL7,Davis Restricted Landing Area,US,39.78569412,-88.54672241
0J0,Abbeville Municipal Airport,US,31.60409927,-85.23880005
0KY1,Arnemann Farms Airport,US,36.76610184,-86.623703
0MI8,Twin Lakes Airport,US,44.89099884,-84.30110168
0MS0,Topton Air Estates Airport,US,32.47159958,-88.62000275
0N0,Roosterville Airport,US,39.29359818,-94.44190216
0N4,Chandelle Airport,US,39.19919968,-75.48750305
0N6,Albanna Aviation Airport,US,39.01509857,-75.53610229
0NE6,Frager Field,US,40.43840027,-98.07109833
0O4,Corning Municipal Airport,US,39.94729996,-122.1709976
0O9,Ward Field,US,41.84500122,-123.9899979
0OH8,Fry Airport,US,40.18460083,-84.25830078
0OK3,McKinley Ranch Airport,US,35.62609863,-98.52390289
0P1,Van Pak Airport,US,39.83520126,-99.56950378
0Q3,Sonoma Valley Airport,US,38.22330093,-122.4530029
0Q4,Selma Airport,US,36.58250046,-119.6610031
0Q9,Sonoma Skypark Airport,US,38.25790024,-122.4380035
0R2,Lincoln Municipal Airport,US,38.40639877,-93.33209991
0R7,The Red River Airport,US,31.99720001,-93.30789948
0S5,Nezperce Municipal Airport,US,46.2417984,-116.2389984
0TA7,Alta Vista Ranch Airport,US,30.15710068,-103.9059982
0TE4,Hilltop Lakes Airport,US,31.08499908,-96.21649933
0TE5,Santa Maria Ranch Airport,US,27.44190025,-99.1875
0TE7,LBJ Ranch Airport,US,30.26040077,-98.62339783
0TX1,Pecan Plantation Airport,US,32.35879898,-97.67590332
0U1,Warm Springs Creek Airport,US,44.1391983,-115.3180008
0U2,Copper Basin Airport,US,43.80690002,-113.836998
0U3,Mahoney Creek US Forest Service Airport,US,44.74280167,-114.9250031
0U7,Hollow Top Airport,US,43.32279968,-113.5950012
0U8,May Airport,US,44.61209869,-113.9039993
0WI4,Snow Crest Ranch Airport,US,43.82889938,-89.3585968
0XA4,Seven Cs Ranch Airport,US,28.00320053,-98.88539886
0XA5,74 Ranch Airport,US,28.68860054,-98.38690186
0XS7,Anacacho Ranch Airport,US,29.19809914,-100.2809982
0Y4,Lambert Fechter Municipal Airport,US,43.16759872,-95.4701004
0Y6,Lake Mills Municipal Airport,US,43.41830063,-93.51180267
10AZ,Pierce Airport,US,33.36640167,-112.6240005
10D,Winsted Municipal Airport,US,44.9538002,-94.07170105
11IA,Koch Field,US,42.35183334,-92.51338959
11II,Himsel Army Airfield,US,39.34730148,-86.03089905
11LS,Jasmine Hill Airport,US,30.97520065,-92.57170105
11S,Sekiu Airport,US,48.26689911,-124.3199997
12A,Arkavalley Airport,US,35.18280029,-92.33509827
12NC,Atlantic Field Marine Corps Outlying Field,US,34.87189865,-76.35600281
12TT,D An P Farm Airport,US,33.59069061,-97.10256195
12WV,Crazy Horse Airport,US,38.34577942,-82.11255646
13ME,Socatean Bay Airport,US,45.77569962,-69.81330109
13NC,Oak Grove Marine Corps Outlying Field,US,35.02629852,-77.26360321
13Y,Littlefork Muni/Hanover Airport,US,48.40829849,-93.58560181
14AZ,Ruby Star Airpark,US,31.90640068,-111.1289978
14MS,Rose Field,US,32.3443985,-89.03970337
14NC,Camp Davis Marine Corps Outlying Field,US,34.50310135,-77.56169891
14OI,Pleasant Home Gliding Club Gliderport,US,40.91759872,-82.11799622
14S,Westport Airport,US,46.89929962,-124.1039963
14TS,O S Wyatt Airport,US,27.42950058,-98.60769653
14WS,Lakewood Lodge Airport,US,45.7806015,-91.56159973
15AR,Taylor Airport,US,34.82870102,-90.54570007
15FL,Cannon Creek Airpark,US,30.15859985,-82.66639709
15G,Weltzien Skypark Airport,US,41.02539825,-81.80020142
15MN,Tyler Farms Airport,US,45.25999832,-94.51439667
16S,Myrtle Creek Municipal Airport,US,42.99499893,-123.3190002
16X,Propwash Airport,US,33.08470154,-97.35970306
17FL,Jumbolair-Greystone Airport,US,29.29059982,-82.12480164
17TX,Kimzey Airport,US,32.4530983,-98.25540161
17XS,Quahadi Ranch Airport,US,32.16960144,-98.43859863
18AZ,Sky Ranch At Carefree Airport,US,33.81639862,-111.9039993
18K,Fowler Airport,US,37.38159943,-100.1880035
18TA,West Kerr Ranch Airport,US,30.14209938,-99.74610138
18TE,Alert Field,US,32.58530045,-95.07219696
18Y,Milaca Municipal Airport,US,45.77600098,-93.63439941
19AR,Naylor field,US,35.15679932,-92.22709656
19AZ,Montezuma Airport,US,34.6094017,-111.8659973
19MT,N Bar Ranch Airport,US,46.83530426,-108.9481201
1A2,Arthur Airport,US,47.11650085,-97.20839691
1AZ0,Bishop Airfield,US,33.10139847,-112.2740021
1C8,Cottonwood Airport,US,42.29550171,-89.13610077
1C9,Frazier Lake Airpark,US,36.95090103,-121.4670029
1CD2,Tonga Airport,US,40.16650009,-104.7979965
1CO5,Melon Field,US,38.01580048,-103.7089996
1D2,Canton-Plymouth-Mettetal Airport,US,42.35100174,-83.45649719
1D4,Mayfield Airport,US,40.99259949,-81.43579865
1D6,Hector Municipal Airport,US,44.73279953,-94.71499634
1G8,Eddie Dew Memorial Airpark,US,40.47280121,-80.62650299
1H4,Greenville-Rainbow Airport,US,42.42219925,-74.00689697
1H9,Nest of Eagles Airport,US,45.83069992,-91.80410004
1I9,Delphi Municipal Airport,US,40.54679871,-86.68139648
1K1,Lloyd Stearman Field,US,37.78150177,-97.11380005
1K6,Ellinwood Municipal Airport,US,38.37630081,-98.59870148
1LS0,Cal Mire Field,US,30.22940063,-90.88269806
1M8,Myricks Airport,US,41.83810043,-71.03079987
1MO3,Lake Viking Airport,US,39.93719864,-94.07640076
1MS8,Columbus Air Force Base Auxiliary Field (Gunshy),US,32.94609833,-88.58670044
1MY1,Carlson Agricultural Airport,US,45.9856987,-96.20330048
1N5,Bennett Airport,US,38.41550064,-75.61730194
1O6,Dunsmuir Muni-Mott Airport,US,41.26649857,-122.2740021
1OK3,Wolfe Field Airport,US,34.57970047,-97.81439972
1Q1,Eckert Field,US,36.16479874,-119.052002
1Q5,Gravelly Valley Airport,US,39.44589996,-122.9580002
